id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood
569,http://photos1.zillowstatic.com/p_f/IS1nuh0i85o54s1000000000.jpg,75,Magellan,Ave,,San Francisco,CA,94116,9500,4,37.749224,-122.460491,,1924,http://www.zillow.com/homedetails/75-Magellan-Ave-San-Francisco-CA-94116/15132595_zpid/,Forest Hill
570,http://photos3.zillowstatic.com/p_f/ISt0sa1c4pmwyo1000000000.jpg,4324,Cesar Chavez,St,,San Francisco,CA,94131,4995,2,37.747366,-122.436585,,1940,http://www.zillow.com/homedetails/4324-Cesar-Chavez-St-San-Francisco-CA-94131/15181607_zpid/,Noe Valley
572,http://photos3.zillowstatic.com/p_f/IS5ey9zlfs33a70000000000.jpg,1887,24th,Ave,,San Francisco,CA,94122,3800,2,37.752409,-122.481988,,1939,http://www.zillow.com/homedetails/1887-24th-Ave-San-Francisco-CA-94122/15112488_zpid/,Central Sunset
574,http://photos3.zillowstatic.com/p_f/ISh7ls7zdechpa0000000000.jpg,1050,17th,St,APT 202,San Francisco,CA,94107,3600,1,37.765593,-122.394488,,2002,http://www.zillow.com/homedetails/1050-17th-St-APT-202-San-Francisco-CA-94107/64972797_zpid/,Potrero Hill
576,http://photos2.zillowstatic.com/p_f/ISt0kw4vnc32bj0000000000.jpg,250,King,St,,San Francisco,CA,94107,3700,1,37.777645,-122.39343,,2004,http://www.zillow.com/homedetails/250-King-St-UNIT-510-San-Francisco-CA-94107/69819419_zpid/,South of Market
578,http://photos2.zillowstatic.com/p_f/IStg0csdcv1y3i0000000000.jpg,3445,Divisadero,St,# A,San Francisco,CA,94123,2350,Studio,37.801467,-122.443458,,3000,http://www.zillow.com/homedetails/3445-Divisadero-St-A-San-Francisco-CA-94123/2106113122_zpid/,Marina
580,http://photos2.zillowstatic.com/p_f/ISplx1d0vgy4w30000000000.jpg,6,Skyview,Way,,San Francisco,CA,94131,4500,3,37.749078,-122.450109,,1956,http://www.zillow.com/homedetails/6-Skyview-Way-San-Francisco-CA-94131/15132104_zpid/,Midtown Terrace
582,http://photos3.zillowstatic.com/p_f/IShb0j9bg1zjd20000000000.jpg,332,Russia,Ave,,San Francisco,CA,94112,3150,2,37.72001,-122.434413,,1900,http://www.zillow.com/homedetails/330-332-Russia-Ave-San-Francisco-CA-94112/15174662_zpid/,Excelsior
584,http://photos2.zillowstatic.com/p_f/IS5idsiy3eowa10000000000.jpg,340,6th,St,,San Francisco,CA,94103,5950,2,37.7778,-122.4052,,1997,http://www.zillow.com/homedetails/340-6th-St-San-Francisco-CA-94103/2100883054_zpid/,South of Market
585,http://photos3.zillowstatic.com/p_f/ISxn4bpilmqg8f1000000000.jpg,40,States,St,,San Francisco,CA,94114,5800,2,37.76361,-122.436237,,2001,http://www.zillow.com/homedetails/40-States-St-San-Francisco-CA-94114/59779590_zpid/,Corona Heights
587,http://photos2.zillowstatic.com/p_f/IS5aj3t3hh037x0000000000.jpg,3741,Buchanan,St,,San Francisco,CA,94123,8364,2,37.80456,-122.4339,,3000,http://www.zillow.com/homedetails/3741-Buchanan-St-San-Francisco-CA-94123/2101335924_zpid/,Marina
