image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
http://photos1.zillowstatic.com/p_g/ISppo9s7oqhnfl0000000000.jpg,41-43,Vicksburg,St,,San Francisco,CA,94114,5300,3
http://photos1.zillowstatic.com/p_g/ISx7wx46g43fiv0000000000.jpg,735,22nd,Ave,,San Francisco,CA,94121,5995,4
http://photos3.zillowstatic.com/p_g/IS9xv7k3iflqoq0000000000.jpg,1340,Mason,St,,San Francisco,CA,94133,9500,3
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.798340,-122.425620/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",530,El Camino Del Mar,,,San Francisco,CA,94121,17500,7
http://photos1.zillowstatic.com/p_g/IS1b1z8lt7a4e80000000000.jpg,763,Bay,St,,San Francisco,CA,94109,9750,3
http://photos2.zillowstatic.com/p_g/ISphi356cdfq7o1000000000.jpg,2101,Bryant,St,APT 105,San Francisco,CA,94110,3800,1
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.786620,-122.465770/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",2828,Bryant,St,,San Francisco,CA,94110,6500,3
http://photos2.zillowstatic.com/p_g/ISp1ikx96wpsvk0000000000.jpg,107,San Jose,Ave,,San Francisco,CA,94110,5750,2
http://photos1.zillowstatic.com/p_g/IS1v00t3529koa1000000000.jpg,3065,Market,St,,San Francisco,CA,94114,4200,2
http://photos1.zillowstatic.com/p_g/ISx7oj0vuf6smx1000000000.jpg,1233,California,St,APT 310,San Francisco,CA,94109,3250,1
http://photos1.zillowstatic.com/p_g/ISxz5c401528q60000000000.jpg,88,Lyell,St,,San Francisco,CA,94112,3975,2
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.746625,-122.458727/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Noe,St,,San Francisco,CA,94114,5500,2
http://photos1.zillowstatic.com/p_g/ISd0lwnxv1b22z0000000000.jpg,2515,Fillmore,St,# 12,San Francisco,CA,94115,6495,3
http://photos2.zillowstatic.com/p_g/ISdglro4j47hpc0000000000.jpg,900,Bush,St,APT 421,San Francisco,CA,94109,4500,2
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.798990,-122.405630/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",234,Randall,St,,San Francisco,CA,94131,5900,3
http://photos1.zillowstatic.com/p_g/ISlqacg3kif6en0000000000.jpg,1266,Chestnut,St,,San Francisco,CA,94109,4700,1
http://photos2.zillowstatic.com/p_g/ISd0l030jshzs61000000000.jpg,246,2nd,St,,San Francisco,CA,94105,6500,2
http://photos2.zillowstatic.com/p_g/ISdwxfks2if9280000000000.jpg,631,Folsom,St,APT 11C,San Francisco,CA,94107,5300,2
http://photos2.zillowstatic.com/p_g/IS5qr0dlp5rwb10000000000.jpg,2,Genoa,Pl,APT 8,San Francisco,CA,94133,3700,2
http://photos3.zillowstatic.com/p_g/IS9hr9agcj38gh1000000000.jpg,3315,Anza,St,,San Francisco,CA,94121,5000,3
http://photos3.zillowstatic.com/p_g/ISh3mazn3w1p1k0000000000.jpg,3884,17th,St,,San Francisco,CA,94114,7200,2
http://photos2.zillowstatic.com/p_g/ISdciicd7kix6k0000000000.jpg,2300,Broadway,St,,San Francisco,CA,94115,25000,3
http://photos2.zillowstatic.com/p_g/IStomejc7ui4nt1000000000.jpg,1573,48th,Ave,APT 3,San Francisco,CA,94122,2950,2
http://photos2.zillowstatic.com/p_g/IS5i9523ttb1cj0000000000.jpg,4220,26th,St,,San Francisco,CA,94131,2900,1
http://photos1.zillowstatic.com/p_g/ISxbfzx9gveaqg0000000000.jpg,254-256,Brighton,Ave,,San Francisco,CA,94112,4500,3
http://photos3.zillowstatic.com/p_g/IStoi7zo07uc2r1000000000.jpg,579,Burnett,Ave,,San Francisco,CA,94131,4199,2
http://photos1.zillowstatic.com/p_g/IS91zsdk66t1qg1000000000.jpg,3317,Anza,St,,San Francisco,CA,94121,6000,4
http://photos3.zillowstatic.com/p_g/ISxfamfs8lef761000000000.jpg,47,Knollview,Way,,San Francisco,CA,94131,3995,2
http://photos1.zillowstatic.com/p_g/IS1z78778rnh3q0000000000.jpg,735-739,Wisconsin,St,,San Francisco,CA,94107,3250,1
http://photos3.zillowstatic.com/p_g/ISlq2yvz9hb7nl0000000000.jpg,2923,23rd,St,# 2,San Francisco,CA,94110,10675,5
http://photos2.zillowstatic.com/p_g/IShf304ag80lsl1000000000.jpg,908,Steiner,St,# B,San Francisco,CA,94117,2995,1
http://photos1.zillowstatic.com/p_g/IS1vk7491d83zz0000000000.jpg,40,Orben,Pl,,San Francisco,CA,94115,5500,2
http://photos3.zillowstatic.com/p_g/ISx7ozwyfjoqsd0000000000.jpg,53,Aquavista,Way,,San Francisco,CA,94131,4500,3
http://photos1.zillowstatic.com/p_g/ISxrfuy46i1t3b1000000000.jpg,2143,Pacific,Ave,,San Francisco,CA,94115,7500,3
http://photos2.zillowstatic.com/p_g/IS1rx6twlmtxof0000000000.jpg,37,Santa Paula,Ave,,San Francisco,CA,94127,10995,3
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.772946,-122.423911/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Market,St,,San Francisco,CA,94104,8250,2
http://photos3.zillowstatic.com/p_g/ISl2sdifk00p3f1000000000.jpg,530,Noe,St,,San Francisco,CA,94114,4900,1
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.754990,-122.426130/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",454,Central,Ave,,San Francisco,CA,94117,4600,2
