street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
151, Margaret, Avenue,  # Top Floor, San_Francisco,  CA, 94112, 2800, 2
355, Serrano, Dr,  # 10, San_Francisco,  CA, 94132, 2970, 1
1430, Hudson, Ave, 0, San_Francisco,  CA, 94124, 3300, 2
77, Bluxome, St, 0, San_Francisco,  CA, 94107, 2840,  Studio
809, Grafton, Ave, 0, San_Francisco,  CA, 94112, 4200, 3
1214, Bowdoin, St, 0, San_Francisco,  CA, 94134, 4150, 3
189, Mount Vernon, Ave, 0, San_Francisco,  CA, 94112, 4000, 4
1423, Sanchez, St, 0, San_Francisco,  CA, 94131, 3695, 1
195, Bepler, St, 0, San_Francisco,  CA, 94112, 3350, 2
267, Chenery, St, 0, San_Francisco,  CA, 94131, 4500, 3
3848, 26th, St, 0, San_Francisco,  CA, 94131, 4950, 2
95, Ora, Way,  UNIT F103, San_Francisco,  CA, 94131, 1670,  Studio
126, Bradford, St, 0, San_Francisco,  CA, 94110, 3995, 2
855, San Jose, Ave, 0, San_Francisco,  CA, 94110, 3300, 2
2515, Fillmore, St,  # 12, San_Francisco,  CA, 94115, 6495, 3
1554, Noe, St, 0, San_Francisco,  CA, 94131, 4450, 2
2934, 21st, Ave, 0, San_Francisco,  CA, 94132, 3950, 2
