id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood,crime_rate
3,http://photos2.zillowstatic.com/p_f/ISt824x2lfwodf0000000000.jpg,21,Hoffman,Ave,,San Francisco,CA,94114,3150,3,37.753781,-122.440648,83,1905,http://www.zillow.com/homedetails/21-Hoffman-Ave-San-Francisco-CA-94114/15130963_zpid/,Noe Valley,A
54,http://photos3.zillowstatic.com/p_f/IShfvp2ovatppx0000000000.jpg,876A,Lombard,St,,San Francisco,CA,94133,4500,2,37.80249,-122.416,95,1913,http://www.zillow.com/homedetails/876A-Lombard-St-San-Francisco-CA-94133/2100536244_zpid/,Russian Hill,B
57,http://photos1.zillowstatic.com/p_f/IS17mo31r1awwl1000000000.jpg,303,Garces,Dr,,San Francisco,CA,94132,2820,1,37.71615,-122.4818,60,3000,http://www.zillow.com/homedetails/303-Garces-Dr-San-Francisco-CA-94132/2100482347_zpid/,Stonestown,B
58,http://photos1.zillowstatic.com/p_f/IS1n6z5bwfu5dk0000000000.jpg,400,Page,St,,San Francisco,CA,94102,2995,Studio,37.77357,-122.4277,97,3000,http://www.zillow.com/homedetails/400-Page-St-San-Francisco-CA-94102/2104804379_zpid/,Hayes Valley,C
59,http://photos2.zillowstatic.com/p_f/ISpp4qbeoyow2m0000000000.jpg,848,N Point,St,,San Francisco,CA,94109,5400,2,37.80567,-122.4212,95,3000,http://www.zillow.com/homedetails/848-N-Point-St-San-Francisco-CA-94109/2100864731_zpid/,Russian Hill,B
61,http://photos3.zillowstatic.com/p_f/ISx3t8ok1bia4h1000000000.jpg,1850,Clay,St,,San Francisco,CA,94109,3795,1,37.79232,-122.4237,98,3000,http://www.zillow.com/homedetails/1850-Clay-St-San-Francisco-CA-94109/2100720924_zpid/,Pacific Heights,B
63,http://photos1.zillowstatic.com/p_f/ISx7wx46g43fiv0000000000.jpg,735,22nd,Ave,,San Francisco,CA,94121,5995,4,37.773876,-122.481388,87,1921,http://www.zillow.com/homedetails/735-22nd-Ave-San-Francisco-CA-94121/15099387_zpid/,Central Richmond,A
66,http://photos1.zillowstatic.com/p_f/IS1b1z8lt7a4e80000000000.jpg,763,Bay,St,,San Francisco,CA,94109,9750,3,37.80468,-122.419475,96,1937,http://www.zillow.com/homedetails/763-Bay-St-San-Francisco-CA-94109/15063559_zpid/,Russian Hill,B
69,http://photos2.zillowstatic.com/p_f/ISp1ikx96wpsvk0000000000.jpg,107,San Jose,Ave,,San Francisco,CA,94110,5750,2,37.75333,-122.421275,99,1890,http://www.zillow.com/homedetails/107-San-Jose-Ave-San-Francisco-CA-94110/79847181_zpid/,Mission,C
70,http://photos1.zillowstatic.com/p_f/IS1v00t3529koa1000000000.jpg,3065,Market,St,,San Francisco,CA,94114,4200,2,37.7609,-122.442,88,3000,http://www.zillow.com/homedetails/3065-Market-St-San-Francisco-CA-94114/2100597642_zpid/,Eureka Valley - Dolores Heights - Castro,B
72,http://photos1.zillowstatic.com/p_f/ISxz5c401528q60000000000.jpg,88,Lyell,St,,San Francisco,CA,94112,3975,2,37.731268,-122.431694,86,1944,http://www.zillow.com/homedetails/88-Lyell-St-San-Francisco-CA-94112/15185590_zpid/,Mission Terrace,B
74,http://photos1.zillowstatic.com/p_f/ISd0lwnxv1b22z0000000000.jpg,2515,Fillmore,St,# 12,San Francisco,CA,94115,6495,3,37.79271,-122.4351,97,3000,http://www.zillow.com/homedetails/2515-Fillmore-St-12-San-Francisco-CA-94115/2100480113_zpid/,Pacific Heights,A
